101.wav,电量低于百分之十
102.wav,现在开始充电
103.wav,人脸录入开始蹲在我面前，不要动哦
104.wav,充电完成了
105.wav,正在连接遥控器
106.wav,遥控器连接失败
107.wav,人脸录入开始，站在我目前不要动哦
108.wav,人脸录入失败
109.wav,人脸录入成功
110.wav,开始识别人脸，走到我面前，看着灯光的位置哦
111.wav,人脸识别失败
112.wav,人脸识别成功
113.wav,一次只能录一个人正对镜头别动哦
114.wav,我有点看不清，正对镜头别动哦
115.wav,正对镜头，脸别动哦
116.wav,主人离我太远了，请等我一下
117.wav,我们的距离太近了，远一些，比较安全
118.wav,图传开启
119.wav,不好，我跟丢主人了
120.wav,这条路好像走不了，再找找别的路吧
121.wav,前方有障碍物
122.wav,开始录像
123.wav,日志抓紧失败
201.wav,正在充电.电量百分之1
202.wav,正在充电.电量百分之2
203.wav,正在充电.电量百分之3
204.wav,正在充电.电量百分之4
205.wav,正在充电.电量百分之5
206.wav,正在充电.电量百分之6
207.wav,正在充电.电量百分之7
208.wav,正在充电.电量百分之8
209.wav,正在充电.电量百分之9
210.wav,正在充电.电量百分之10
211.wav,正在充电.电量百分之11
212.wav,正在充电.电量百分之12
213.wav,正在充电.电量百分之13
214.wav,正在充电.电量百分之14
215.wav,正在充电.电量百分之15
216.wav,正在充电.电量百分之16
217.wav,正在充电.电量百分之17
218.wav,正在充电.电量百分之18
219.wav,正在充电.电量百分之19
220.wav,正在充电.电量百分之20
221.wav,正在充电.电量百分之21
222.wav,正在充电.电量百分之22
223.wav,正在充电.电量百分之23
224.wav,正在充电.电量百分之24
225.wav,正在充电.电量百分之25
226.wav,正在充电.电量百分之26
227.wav,正在充电.电量百分之27
228.wav,正在充电.电量百分之28
229.wav,正在充电.电量百分之29
230.wav,正在充电.电量百分之30
231.wav,正在充电.电量百分之31
232.wav,正在充电.电量百分之32
233.wav,正在充电.电量百分之33
234.wav,正在充电.电量百分之34
235.wav,正在充电.电量百分之35
236.wav,正在充电.电量百分之36
237.wav,正在充电.电量百分之37
238.wav,正在充电.电量百分之38
239.wav,正在充电.电量百分之39
240.wav,正在充电.电量百分之40
241.wav,正在充电.电量百分之41
242.wav,正在充电.电量百分之42
